id,keyname,desc
0,rating.symbol.chip.askavgsh-1,每日每户持股数动量
1,rating.symbol.chip.askavgsh-120,六个月每户持股数动量
2,rating.symbol.chip.askavgsh-60,三个月每户持股数动量
3,rating.symbol.chip.avgvol-1,每日平均每笔成交量动量
4,rating.symbol.chip.avgvol-120,六个月平均每笔成交量动量
5,rating.symbol.chip.avgvol-60,三个月平均每笔成交量动量
6,rating.symbol.chip.totalshamt-1,每日平均股东总户数动量
7,rating.symbol.chip.totalshamt-120,六个月平均股东总户数动量
8,rating.symbol.chip.totalshamt-60,三个月平均股东总户数动量
9,rating.symbol.chip.turn_rate-1,每日平均换手率动量
10,rating.symbol.chip.turn_rate-120,六个月平均换手率动量
11,rating.symbol.chip.turn_rate-60,三个月平均换手率动量
12,rating.symbol.chip.volume-1,每日成交量动量
13,rating.symbol.chip.volume-120,六个月平均成交量动量
14,rating.symbol.chip.volume-60,三个月平均成交量动量
100,rating.symbol.growth.main_busi_grow_rate,主营业务增长率
101,rating.symbol.growth.netass_grow_rate,净资产增长率
102,rating.symbol.growth.netinc_grow_rate,净利润增长率
200,rating.symbol.momentum.win120,六个月动量
201,rating.symbol.momentum.win20,一个月动量
202,rating.symbol.momentum.win240,十二个月动量
203,rating.symbol.momentum.win5,一周动量
204,rating.symbol.momentum.win60,三个月动量
300,rating.symbol.other.beta52w,52周beta系数
301,rating.symbol.other.high_send,高送配（填充）
302,rating.symbol.other.high_send_no_value,高送配（不填充）
303,rating.symbol.other.pre_dv,分红（填充）
304,rating.symbol.other.pre_dv_no_value,分红（不填充）
305,rating.symbol.other.tclose,收盘价
400,rating.symbol.quality.assliab_rate,资产负债率
401,rating.symbol.quality.dilutedroe,净资产收益率
402,rating.symbol.quality.invturn_rate,存货周转率
403,rating.symbol.quality.sale_gross_profit_rto,销售毛利率
500,rating.symbol.scale.negotiablemv,流通市值
501,rating.symbol.scale.negotiablemv_totmktcap,流通市值和总市值的比率
502,rating.symbol.scale.totalshare,总股本
503,rating.symbol.scale.totmktcap,总市值
600,rating.symbol.value.dy,股息率
601,rating.symbol.value.evebitda,企业价值/税息折旧摊销前利润
602,rating.symbol.value.pb,市净率
603,rating.symbol.value.pcttm,市现率
604,rating.symbol.value.pettm,市盈率
605,rating.symbol.value.psttm,市销率
700,rating.symbol.scale_log.negotiablemv,对数流通市值
701,rating.symbol.scale_log.totalshare,对数总股本
702,rating.symbol.scale_log.totmktcap,对数总市值